"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GDI2P2",4.31663715718014,0.100440390293881,0.349698652388327,0.287219838017408,0.773943997430774,0.866003378141509
"SETP5",38.8842262100024,-0.285511423849818,0.147592041545808,-1.93446354464312,0.0530561601111533,0.137804788522405
"IGKV3OR2-268",3.47384107673506,-0.337496196648875,0.597909325450552,-0.564460499749784,0.572440775157815,0.72171728279957
"MTATP6P27",13.140060558566,-0.0589060986761882,0.240818161692651,-0.244608206715605,0.80675980903405,0.886654172788436
"DDX39B-AS1",2.77563692468499,-0.230478731962116,0.430220310362727,-0.535722573785033,0.592150299979071,0.735923614699006
"RPL5P34",5.87229723665583,-0.269331858995017,0.28948659079055,-0.930377667095072,0.352175577503063,0.530708236814462
"RBPMS2P1",2.62708276749111,-0.848684246147311,0.46889024135522,-1.80998487768563,0.0702981323049294,0.16958154103477
"EIF2AK3-DT",51.5336397547266,-0.285002837450353,0.148437834838189,-1.9200147843778,0.0548560319732489,0.141133747824502
"TMEM97P1",6.23912642541318,0.667981604995632,0.331178606863284,2.01698295467311,0.0436972921466265,0.119295938773268
"TXNP6",12.4891389293546,-0.757531088845303,0.218065990805552,-3.47386167850808,0.000513025429458009,0.00374333003471452
"RPL10P12",214.483139094311,-0.218651451826699,0.0902301745008396,-2.42326309392945,0.0153817822874149,0.0541194320113965
"NUDT9P1",5.77277731682645,0.241492143803573,0.282492438204958,0.854862329547958,0.392627367284455,0.568392721055286
"CASKP1",3.27134399677722,1.30810281053104,0.809936678669961,1.61506799849976,0.106295970164113,0.230748831159427
"EDDM3CP",35.8960510344307,-0.246500368531134,0.169460969246977,-1.45461441431907,0.145776038234555,0.289915416570113
"TM9SF5P",29.902503791389,0.401545973624967,0.183794054214827,2.18476041208395,0.0289064180917355,0.0879122152521935
"MTND4P26",7.90810923997995,-0.722653174888492,0.273941003292993,-2.6379883485919,0.00833994472905339,0.0338597050812132
"TAS2R62P",16.5603695310346,0.0643220966205256,0.261666957071188,0.245816656946205,0.805824162249512,0.886119310317248
"GTF3C2-AS2",93.7476056477662,-0.0324813145265222,0.0775039812885158,-0.419092206445595,0.67514874624498,0.797625965961902
"CBX3P10",25.7523009666309,-0.656901019701035,0.254945393789802,-2.5766341958021,0.00997674704531927,0.0388936060537688
"TPRG1-AS1",15.2213632636946,1.68583217552952,0.294953736246921,5.71558169420243,1.09329380752122e-08,8.65167347065244e-07
"FRMD4A-AS1",0.358401764456574,0.404334716751852,1.52435379143392,0.265249917062564,0.79081694333738,0.876163764514541
"RPS15AP11",14.034578972753,0.376552633867133,0.191517900397947,1.96614850666549,0.0492814586159381,0.130732733041717
"MTND4P11",7.51271605627814,-0.0577941726931325,0.265581891302199,-0.217613378720049,0.82773035958472,0.899102581156459
"SRP14P2",17.5177001506531,0.835270213003107,0.222048922818083,3.76164947076737,0.000168796499917535,0.00156788243996093
"RPL13AP6",87.7897533462293,-0.0042239885763374,0.133220359580391,-0.0317067795766493,0.974705888286192,0.985288132192447
"TRIM26",1036.61360157299,-0.0622334859288707,0.0539188523190297,-1.1542064278491,0.248415547924606,0.42216710075553
"HCCS-DT",16.0080654049088,0.476020587321304,0.175733897636066,2.70875792163395,0.00675355963207793,0.0286545969239009
"LINC01675",2.7801516354092,0.529692237887647,0.423232182642937,1.25154054821612,0.210737329611788,0.376247763662374
"COX6CP13",1.22820313351513,0.438590765966533,0.659173742265664,0.665364437089136,0.505817425392643,0.667295698166985
"RBPMSLP",57.0398636660634,-0.0346656900684052,0.115861416937086,-0.299199604016831,0.764787751412781,0.859980093731799
